Solar (W/m2),AirTemp (DegC),RH (%),(delta)PD
0,21.9,97,-0.1
113,22.3,100,-0.1
152,22.8,100,-0.1
141,23.3,100,-0.1
123,23.6,99,-0.1
42,23.7,97,-0.2
0,23.1,100,-0.1
0,23,100,-0.1
0,22.9,100,-0.1
0,22.7,99,-0.1
0,22.4,100,-0.1
0,22.2,100,-0.1
44,22.8,100,-0.1
294,24.3,100,-0.1
39,24.6,95,-0.1
0,22.8,98,-0.1
0,21.3,100,-0.1
0,21.2,100,-0.1
31,21.7,100,-0.1
111,23.3,96,-0.2
56,23.2,86,-0.1
0,19.5,100,-0.1
625,23.6,91,-0.1
928,27.6,61,-0.1
850,28.9,55,-0.1
0,19.8,89,-0.1
336,20.8,91,-0.1
726,25.7,76,-0.2
663,26.7,68,-0.1
855,28,60,-0.1
565,28.1,57,-0.1
389,27.6,64,-0.1
125,27.2,71,-0.1
27,25.1,80,-0.1
0,20.9,94,-0.1
0,20,97,-0.1
0,19.7,100,-0.1
0,19.2,99,-0.1
0,18.8,100,-0.1
21,18.4,100,-0.1
107,20.4,100,-0.2
122,20.7,100,-0.1
74,21,100,-0.1
19,21,100,-0.1
0,20.2,100,-0.1
0,20.3,100,-0.1
0,20.4,100,-0.1
6,20.2,100,-0.1
24,20.4,100,-0.7
165,21,100,-0.8
195,21.6,100,-0.7
251,22,100,-0.4
241,23.4,100,-0.4
142,23.8,100,-0.3
102,23.8,100,-0.2
31,23.3,100,-0.2
8,23.1,100,-0.2
0,22.7,100,-0.2
0,22.5,100,-0.1
0,22.5,100,-0.1
0,22.4,100,-0.1
0,22.2,100,-0.1
0,22.1,99,-0.1
0,21.9,100,-0.2
0,22,100,-0.1
0,22,100,-0.2
8,22,100,-0.1
21,22.3,100,-0.1
56,22.6,100,-0.1
63,23.2,100,-0.1
113,23.7,100,-0.2
119,24.5,100,-0.2
68,24.6,100,-0.1
13,24.6,100,-0.1
0,23.8,100,-0.8
0,23.7,100,-0.6
0,23.4,100,-0.4
0,23,100,-0.3
0,22.9,100,-0.3
0,22.8,99,-0.2
0,22.8,100,-0.2
0,22.8,100,-0.2
0,22.8,100,-0.1
0,22.8,100,-0.1
13,22.9,100,-0.2
51,23.4,100,-0.1
83,24,100,-0.1
196,24.7,100,-0.1
474,25.9,100,-0.1
615,27.4,95,-0.2
484,28.1,91,-0.1
366,28.5,87,-0.1
440,28.4,87,-0.1
390,28.5,84,-0.1
75,27.2,87,-0.1
15,25.8,94,-0.1
0,24.6,99,-0.1
0,23.5,100,-0.1
0,23.1,100,-0.1
0,22.8,100,-0.1
0,22.7,100,-0.1
0,22.1,100,-0.1
0,22,100,-0.1
0,21.7,100,-0.1
0,21.9,100,-0.1
130,23.9,100,-0.1
116,25.1,100,-0.1
188,26.5,96,-0.1
341,27.1,95,-0.1
281,28.8,87,-0.1
282,28.9,87,-0.1
214,28.9,86,-0.1
98,28.3,81,-0.1
5,27,85,-0.1
0,26.1,91,-0.1
0,25,99,-0.2
94,25.7,99,-0.1
76,26,89,-0.1
153,26.2,88,-0.2
37,25.8,88,-0.2
0,25.2,90,-0.1
0,23.7,96,-0.1
0,23,99,-0.1
0,22.5,99,-0.1
0,21.8,100,-0.1
0,21.1,100,-0.1
0,21.3,100,-0.1
65,22,100,-0.1
326,24.5,99,-0.1
535,27.5,84,-0.2
397,28.4,77,-0.2
114,27.4,85,-0.1
0,24.4,99,-0.1
0,23.8,100,-0.1
0,23.6,100,-0.1
0,23.1,100,-0.1
72,23.4,100,-0.1
275,27.3,90,-0.1
419,29.4,83,-0.2
113,28.5,86,-0.1
0,25.4,100,-0.1
0,24.3,100,-0.1
0,23.7,100,-0.1
324,26.4,98,-0.1
640,28.4,82,-0.1
412,28.4,77,-0.1
383,28.3,77,-0.1
525,28.9,74,-0.1
471,29.3,70,-0.1
12,26.3,86,-0.1
0,23.5,99,-0.1
0,22.9,99,-0.1
0,22.4,100,-0.1
455,25.6,98,-0.1
360,27.8,85,-0.1
309,28.6,81,-0.2
198,28.4,83,-0.1
501,29.1,82,-0.2
100,20.6,95,-0.1
106,20.1,93,-0.1
0,19.2,93,-0.1
393,22.3,86,-0.1
778,25.1,70,-0.1
847,25.8,69,-0.1
667,26.2,67,-0.1
342,27.5,61,-0.1
58,25.9,67,-0.1
11,23.3,82,-0.1
0,18.6,98,-0.1
0,17.5,100,-0.1
0,16.5,99,-0.1
0,15.8,100,-0.1
0,15.4,100,-0.1
578,23.6,83,-0.2
717,25.5,70,-0.2
800,26.4,66,-0.1
826,27.3,66,-0.4
812,28.4,65,-0.1
679,29.1,64,-0.3
470,29.3,63,-0.3
203,27.8,68,-0.1
51,25.9,74,-0.1
7,24.5,76,-0.1
0,22.7,86,-0.1
0,21.9,93,-0.1
0,21.8,95,-0.1
0,21.6,97,-0.1
0,21.2,98,-0.1
0,20.6,100,-0.1
0,20.1,100,-0.1
0,20.1,100,-0.1
0,20.2,100,-0.1
13,20.8,100,-0.1
113,21.8,100,-0.1
331,25,93,-0.1
430,26.9,82,-0.2
320,26.4,80,-0.2
517,27.1,79,-0.4
522,27.6,77,-0.4
734,28.8,71,-0.5
204,28.1,73,-0.6
85,27.4,75,-0.4
5,25.8,82,-0.2
0,24.4,88,-0.3
0,24,89,-0.1
0,23.7,91,-0.1
0,23.5,92,-0.1
0,23.1,95,-0.1
0,22.1,100,-0.1
0,21.6,100,-0.1
0,20.4,97,-0.1
125,19.9,100,-0.1
459,23.9,79,-0.1
0,15.5,100,-0.1
0,15,100,-0.1
578,23.5,67,-0.1
720,25.2,62,-0.1
833,26.5,57,-0.1
687,27.4,56,-0.1
6,22.2,76,-0.1
0,19.4,87,-0.2
0,18.1,91,-0.1
0,17.1,95,-0.1
0,16.3,96,-0.1
0,15.8,98,-0.1
0,15.3,99,-0.1
0,14.9,99,-0.1
0,14.6,100,-0.1
0,15.2,100,-0.1
76,16,100,-0.1
658,23.8,73,-0.1
836,28.7,50,-0.1
559,23.8,62,-0.1
698,25.1,56,-0.2
0,17.7,77,-0.1
0,15.6,93,-0.1
0,14,99,-0.1
0,12.7,100,-0.1
521,19.7,100,-0.1
779,23,91,-0.1
606,24.1,59,-0.3
430,24.1,62,-0.2
311,24.1,63,-0.1
44,22.5,63,-0.1
4,21.6,64,-0.1
0,20.8,65,-0.1
0,18.8,72,-0.1
0,18.5,77,-0.1
0,19.2,78,-0.1
0,18.1,76,-0.1
92,18.2,100,-0.1
0,16.5,100,-0.2
0,16.6,100,-0.1
0,16.7,100,-0.3
0,16.6,100,-0.2
25,16.7,100,-0.2
62,16.9,100,-0.1
92,17.2,100,-0.1
68,17.4,100,-0.1
50,17.5,100,-0.1
12,17,100,-0.1
0,16.4,100,-0.2
0,17.3,100,-0.4
0,18.5,99,-0.3
0,19.5,94,-0.3
0,19.8,84,-0.3
0,19.7,80,-0.1
0,19.6,79,-0.2
0,18.9,77,-0.1
0,17.3,80,-0.2
0,16.6,98,-0.1
10,16.5,99,-0.1
69,17.2,100,-0.1
142,18.3,100,-0.1
133,19,99,-0.1
201,19,94,-0.1
101,18.6,96,-0.1
87,18.5,98,-0.1
25,18.7,96,-0.1
3,18.5,96,-0.1
0,18,100,-0.1
0,17.1,100,-0.1
0,16.9,100,-0.1
0,16.7,100,-0.1
0,16.1,100,-0.1
0,15.7,100,-0.1
8,15.1,100,-0.1
336,16.3,100,-0.1
586,18.7,100,-0.1
699,20.7,94,-0.1
828,23.4,70,-0.1
786,24.3,62,-0.1
389,24.4,53,-0.1
244,24.1,51,-0.1
76,21.5,56,-0.1
0,16.1,83,-0.1
0,15,91,-0.1
0,14.1,95,-0.1
0,12.8,99,-0.1
0,12.4,100,-0.1
0,11.6,99,-0.1
0,11.1,100,-0.1
0,10.9,100,-0.1
30,10.8,100,-0.1
472,19,100,-0.1
634,21.4,91,-0.1
700,22.6,76,-0.1
300,23.3,59,-0.1
165,22.9,59,-0.1
3,19,80,-0.1
0,16.7,93,-0.1
0,15.8,97,-0.1
0,15.1,99,-0.1
0,14.4,100,-0.1
0,14.6,100,-0.1
20,14.3,100,-0.1
529,22.9,97,-0.1
363,24.7,82,-0.1
351,26.1,69,-0.1
416,27,96,-0.1
16,23.9,68,-0.1
0,19.4,94,-0.1
0,17.6,100,-0.1
0,17.9,100,-0.1
108,23.1,92,-0.1
254,25.1,72,-0.1
36,24.2,82,-0.2
0,22,100,-0.1
2,21.4,100,-0.1
98,24.8,100,-0.1
315,28.8,71,-0.1
226,27.6,76,-0.1
0,23,91,-0.1
0,21.8,95,-0.1
0,21,100,-0.1
0,20.7,100,-0.1
2,20.2,100,-0.1
78,23.7,98,-0.1
108,25.9,81,-0.1
229,25.7,88,-0.2
269,26.9,90,-0.1
70,26.2,78,-0.1
0,23.1,98,-0.1
0,22.3,99,-0.1
0,22.1,100,-0.1
0,21.7,100,-0.1
3,21.1,100,-0.1
0,20.7,100,-0.1
0,20.1,100,-0.1
0,19.9,100,-0.1
0,19.8,100,-0.1
0,19.8,100,-0.1
4,21,100,-0.2
0,21.4,100,-0.3
0,21.9,100,-0.6
0,22.8,100,-0.3
0,22.6,100,-0.3
0,23,100,-0.1
0,22.9,100,-0.1
0,23.3,100,-0.3
0,23.6,100,-0.1
0,23.3,100,-0.1
0,22.8,100,-0.2
0,22.5,100,-0.1
13,22.5,100,-0.2
158,22.8,98,-0.2
199,23.6,93,-0.2
635,26.8,83,-0.1
684,27.4,75,-0.2
773,28,69,-0.1
160,26.4,67,-0.1
31,24.1,69,-0.1
0,20.4,89,-0.1
0,18.9,99,-0.1
0,18.4,100,-0.1
0,17.6,100,-0.1
0,17.2,100,-0.1
0,16.5,100,-0.1
0,15.9,100,-0.1
149,16.9,100,-0.1
636,25.6,92,-0.1
690,27.1,64,-0.2
216,25.3,72,-0.1
0,19.6,87,-0.1
0,19.7,97,-0.1
0,20.1,100,-0.1
0,19.4,100,-0.1
0,18.9,100,-0.1
119,18.8,100,-0.1
339,23.7,88,-0.2
295,25.1,72,-0.1
43,23.5,72,-0.1
0,19.6,91,-0.1
0,19.3,93,-0.1
0,19.2,95,-0.1
0,19.3,91,-0.1
0,18.8,89,-0.1
0,18.3,85,-0.1
0,17.6,84,-0.1
7,17.1,83,-0.1
230,18.6,84,-0.1
474,19.9,77,-0.1
553,21,70,-0.1
388,21.7,63,-0.1
39,19.3,67,-0.1
1,17.1,77,-0.1
0,15.6,87,-0.1
0,14.5,93,-0.1
0,13.9,99,-0.1
0,14.4,100,-0.1
0,14.6,98,-0.1
12,14.6,100,-0.1
